sample,run,s_all_cos,cos_95ci,cos_relation
Q07_SST_1,07,0.971262487872,0.972447097939479,Non-Normal
Q07_SST_2,07,0.983041674513788,0.972447097939479,Normal
Q07_SST_3,07,0.983288149004442,0.972447097939479,Normal
Q07_SST_4,07,0.987560591316675,0.972447097939479,Normal
Q07_SST_5,07,0.989600711561265,0.972447097939479,Normal
Q07_SST_6,07,0.989457995781408,0.972447097939479,Normal
S07_001,07,0.980759697834033,0.972447097939479,Normal
S07_002,07,0.983024035856186,0.972447097939479,Normal
S07_003,07,0.975199743096266,0.972447097939479,Normal
S07_004,07,0.965133156415905,0.972447097939479,Non-Normal
S07_005,07,0.963369252785395,0.972447097939479,Non-Normal
S07_006,07,0.973511605483557,0.972447097939479,Normal
S07_007,07,0.968049472501791,0.972447097939479,Non-Normal
S07_008,07,0.972633653631005,0.972447097939479,Normal
S07_009,07,0.987478338312355,0.972447097939479,Normal
S07_010,07,0.97399432995577,0.972447097939479,Normal
S07_011,07,0.986053177884055,0.972447097939479,Normal
S07_012,07,0.981218046656929,0.972447097939479,Normal
S07_013,07,0.983068966047497,0.972447097939479,Normal
S07_014,07,0.982569125036575,0.972447097939479,Normal
S07_015,07,0.988286624441453,0.972447097939479,Normal
S07_016,07,0.989666986255874,0.972447097939479,Normal
S07_017,07,0.983515002582012,0.972447097939479,Normal
S07_018,07,0.988808343109847,0.972447097939479,Normal
S07_019,07,0.983834653056536,0.972447097939479,Normal
S07_020,07,0.98525527993265,0.972447097939479,Normal
S07_021,07,0.986465968683671,0.972447097939479,Normal
S07_022,07,0.994260882251051,0.972447097939479,Normal
S07_023,07,0.990277288882715,0.972447097939479,Normal
S07_024,07,0.994354794391815,0.972447097939479,Normal
S07_025,07,0.987659783060304,0.972447097939479,Normal
S07_026,07,0.993593953541798,0.972447097939479,Normal
S07_027,07,0.991400164452295,0.972447097939479,Normal
S07_028,07,0.992065163446223,0.972447097939479,Normal
S07_029,07,0.992733694421668,0.972447097939479,Normal
S07_030,07,0.987495076048097,0.972447097939479,Normal
S07_031,07,0.995864672345741,0.972447097939479,Normal
S07_032,07,0.994857206255988,0.972447097939479,Normal
S07_033,07,0.996483280104117,0.972447097939479,Normal
S07_034,07,0.996540619430068,0.972447097939479,Normal
S07_035,07,0.996007367483912,0.972447097939479,Normal
S07_036,07,0.996530356737017,0.972447097939479,Normal
S07_037,07,0.994841130624236,0.972447097939479,Normal
S07_038,07,0.995866403792917,0.972447097939479,Normal
S07_039,07,0.997769616741682,0.972447097939479,Normal
S07_040,07,0.995739600018261,0.972447097939479,Normal
S07_041,07,0.996464215805991,0.972447097939479,Normal
S07_042,07,0.997211071462751,0.972447097939479,Normal
S07_043,07,0.996975791614268,0.972447097939479,Normal
S07_044,07,0.996436558100001,0.972447097939479,Normal
S07_045,07,0.995676679437628,0.972447097939479,Normal
S07_046,07,0.995486313880115,0.972447097939479,Normal
S07_047,07,0.997169097017947,0.972447097939479,Normal
S07_048,07,0.996573139842764,0.972447097939479,Normal
S07_049,07,0.994337357093728,0.972447097939479,Normal
S07_050,07,0.994776062446356,0.972447097939479,Normal
S07_051,07,0.995823835793299,0.972447097939479,Normal
S07_052,07,0.965599145397874,0.972447097939479,Non-Normal
S07_053,07,0.994969473162047,0.972447097939479,Normal
S07_054,07,0.996423917807728,0.972447097939479,Normal
S07_055,07,0.992768651370896,0.972447097939479,Normal
S07_056,07,0.995841100107843,0.972447097939479,Normal
S07_057,07,0.995905297158217,0.972447097939479,Normal
S07_058,07,0.994566396748143,0.972447097939479,Normal
S07_059,07,0.994905305829495,0.972447097939479,Normal
S07_060,07,0.994024029635269,0.972447097939479,Normal
S07_061,07,0.992681872609268,0.972447097939479,Normal
S07_062,07,0.993723415880422,0.972447097939479,Normal
S07_063,07,0.994071332734813,0.972447097939479,Normal
S07_064,07,0.987768539740076,0.972447097939479,Normal
S07_065,07,0.992436374046153,0.972447097939479,Normal
S07_066,07,0.995388689529058,0.972447097939479,Normal
S07_067,07,0.996899607452431,0.972447097939479,Normal
S07_068,07,0.989902228322688,0.972447097939479,Normal
S07_069,07,0.989118882663919,0.972447097939479,Normal
S07_070,07,0.992009967647548,0.972447097939479,Normal
mean,07,1,0.972447097939479,Normal
