sample,run,s_all_cos,cos_95ci,cos_relation
Q04_SST_1,04,0.993985032391859,0.984510182257783,Normal
Q04_SST_2,04,0.99289411789968,0.984510182257783,Normal
Q04_SST_3,04,0.993299383409517,0.984510182257783,Normal
Q04_SST_4,04,0.994045249790057,0.984510182257783,Normal
Q04_SST_5,04,0.994040614279889,0.984510182257783,Normal
Q04_SST_6,04,0.992953030479199,0.984510182257783,Normal
S04_001,04,0.985844424261505,0.984510182257783,Normal
S04_002,04,0.995197853524771,0.984510182257783,Normal
S04_003,04,0.995740171782582,0.984510182257783,Normal
S04_004,04,0.996562980727359,0.984510182257783,Normal
S04_005,04,0.996793574622542,0.984510182257783,Normal
S04_006,04,0.996700950540852,0.984510182257783,Normal
S04_007,04,0.995995420852976,0.984510182257783,Normal
S04_008,04,0.997532252315771,0.984510182257783,Normal
S04_009,04,0.995470896990961,0.984510182257783,Normal
S04_010,04,0.997776366619977,0.984510182257783,Normal
S04_011,04,0.997225268414462,0.984510182257783,Normal
S04_012,04,0.99797257503876,0.984510182257783,Normal
S04_013,04,0.995552624007791,0.984510182257783,Normal
S04_014,04,0.99363399741195,0.984510182257783,Normal
S04_015,04,0.995633297839315,0.984510182257783,Normal
S04_016,04,0.997785165965611,0.984510182257783,Normal
S04_017,04,0.996236579306272,0.984510182257783,Normal
S04_018,04,0.994823299843081,0.984510182257783,Normal
S04_019,04,0.996687544107978,0.984510182257783,Normal
S04_020,04,0.997049125154244,0.984510182257783,Normal
S04_021,04,0.996677481730758,0.984510182257783,Normal
S04_022,04,0.988299731706084,0.984510182257783,Normal
S04_023,04,0.993253728378287,0.984510182257783,Normal
S04_024,04,0.995571703538835,0.984510182257783,Normal
S04_025,04,0.995933777270459,0.984510182257783,Normal
S04_026,04,0.993205991175641,0.984510182257783,Normal
S04_027,04,0.993791460369929,0.984510182257783,Normal
S04_028,04,0.99060433363662,0.984510182257783,Normal
S04_029,04,0.995421265523782,0.984510182257783,Normal
S04_030,04,0.996408918558913,0.984510182257783,Normal
S04_031,04,0.993430983602427,0.984510182257783,Normal
S04_032,04,0.992838197991627,0.984510182257783,Normal
S04_033,04,0.991648843656539,0.984510182257783,Normal
S04_034,04,0.995090225456195,0.984510182257783,Normal
S04_035,04,0.991973470565343,0.984510182257783,Normal
S04_036,04,0.99364079052566,0.984510182257783,Normal
S04_037,04,0.995654995057989,0.984510182257783,Normal
S04_038,04,0.996262764368606,0.984510182257783,Normal
S04_039,04,0.996449263176,0.984510182257783,Normal
S04_040,04,0.996111467706167,0.984510182257783,Normal
S04_041,04,0.996292697629516,0.984510182257783,Normal
S04_042,04,0.993699159885589,0.984510182257783,Normal
S04_043,04,0.997690430300045,0.984510182257783,Normal
S04_044,04,0.996026580458684,0.984510182257783,Normal
S04_045,04,0.995880964493148,0.984510182257783,Normal
S04_046,04,0.990434356601368,0.984510182257783,Normal
S04_047,04,0.992514862958485,0.984510182257783,Normal
S04_048,04,0.991582088004424,0.984510182257783,Normal
S04_049,04,0.966173918334905,0.984510182257783,Non-Normal
S04_050,04,0.995782185670264,0.984510182257783,Normal
S04_051,04,0.993001774144241,0.984510182257783,Normal
S04_052,04,0.991520105498054,0.984510182257783,Normal
S04_053,04,0.989365454371505,0.984510182257783,Normal
S04_054,04,0.995187751551848,0.984510182257783,Normal
S04_055,04,0.990145151552728,0.984510182257783,Normal
S04_056,04,0.990053013182119,0.984510182257783,Normal
S04_057,04,0.993084060001041,0.984510182257783,Normal
S04_058,04,0.994329058007043,0.984510182257783,Normal
S04_059,04,0.990186439056713,0.984510182257783,Normal
S04_060,04,0.99270835259391,0.984510182257783,Normal
S04_061,04,0.990856175814173,0.984510182257783,Normal
S04_062,04,0.989528999870421,0.984510182257783,Normal
S04_063,04,0.988721178650071,0.984510182257783,Normal
S04_064,04,0.992741286771302,0.984510182257783,Normal
S04_065,04,0.987026388789339,0.984510182257783,Normal
S04_066,04,0.989151801299663,0.984510182257783,Normal
S04_067,04,0.987143706066264,0.984510182257783,Normal
S04_068,04,0.987743591538968,0.984510182257783,Normal
S04_069,04,0.98936933860168,0.984510182257783,Normal
S04_070,04,0.984557738737424,0.984510182257783,Normal
mean,04,1,0.984510182257783,Normal
