sample,run,s_all_cos,cos_95ci,cos_relation
Q06_SST_1,06,0.975653600627397,0.97979552728218,Non-Normal
Q06_SST_2,06,0.98479377037543,0.97979552728218,Normal
Q06_SST_3,06,0.986398332594661,0.97979552728218,Normal
Q06_SST_4,06,0.984037247784287,0.97979552728218,Normal
Q06_SST_5,06,0.983937994014714,0.97979552728218,Normal
Q06_SST_6,06,0.98853725335997,0.97979552728218,Normal
S06_001,06,0.985923058055599,0.97979552728218,Normal
S06_002,06,0.983279029021865,0.97979552728218,Normal
S06_003,06,0.989889861994562,0.97979552728218,Normal
S06_004,06,0.987625907377931,0.97979552728218,Normal
S06_005,06,0.987742165200916,0.97979552728218,Normal
S06_006,06,0.988971436106891,0.97979552728218,Normal
S06_007,06,0.984602897049664,0.97979552728218,Normal
S06_008,06,0.987780712545932,0.97979552728218,Normal
S06_009,06,0.993427582407516,0.97979552728218,Normal
S06_010,06,0.981490461156597,0.97979552728218,Normal
S06_011,06,0.991353351281309,0.97979552728218,Normal
S06_012,06,0.993681747251566,0.97979552728218,Normal
S06_013,06,0.990927956845414,0.97979552728218,Normal
S06_014,06,0.991447684133719,0.97979552728218,Normal
S06_015,06,0.995061198491597,0.97979552728218,Normal
S06_016,06,0.987399258330536,0.97979552728218,Normal
S06_017,06,0.995516271247747,0.97979552728218,Normal
S06_018,06,0.997120798738861,0.97979552728218,Normal
S06_019,06,0.986025455715319,0.97979552728218,Normal
S06_020,06,0.993505139994623,0.97979552728218,Normal
S06_021,06,0.981775943767816,0.97979552728218,Normal
S06_022,06,0.98207310590535,0.97979552728218,Normal
S06_023,06,0.975147289232232,0.97979552728218,Non-Normal
S06_024,06,0.99296291618022,0.97979552728218,Normal
S06_025,06,0.981291549453852,0.97979552728218,Normal
S06_026,06,0.979245375525792,0.97979552728218,Non-Normal
S06_027,06,0.986826525227095,0.97979552728218,Normal
S06_028,06,0.982221004925326,0.97979552728218,Normal
S06_029,06,0.985123399320434,0.97979552728218,Normal
S06_030,06,0.992298477704395,0.97979552728218,Normal
S06_031,06,0.994390464874328,0.97979552728218,Normal
S06_032,06,0.993024226268155,0.97979552728218,Normal
S06_033,06,0.992676511156298,0.97979552728218,Normal
S06_034,06,0.996339634741696,0.97979552728218,Normal
S06_035,06,0.994459733661675,0.97979552728218,Normal
S06_036,06,0.990364094406593,0.97979552728218,Normal
S06_037,06,0.981844007116193,0.97979552728218,Normal
S06_038,06,0.994554518007673,0.97979552728218,Normal
S06_039,06,0.990409065813415,0.97979552728218,Normal
S06_040,06,0.990977851749609,0.97979552728218,Normal
S06_041,06,0.986165191558833,0.97979552728218,Normal
S06_042,06,0.993817442987571,0.97979552728218,Normal
S06_043,06,0.992888631679755,0.97979552728218,Normal
S06_044,06,0.992473867187973,0.97979552728218,Normal
S06_045,06,0.987875531365571,0.97979552728218,Normal
S06_046,06,0.98480925299407,0.97979552728218,Normal
S06_047,06,0.99304592715205,0.97979552728218,Normal
S06_048,06,0.99253802684943,0.97979552728218,Normal
S06_049,06,0.987703099802114,0.97979552728218,Normal
S06_050,06,0.994241119120032,0.97979552728218,Normal
S06_051,06,0.993836684371238,0.97979552728218,Normal
S06_052,06,0.990871056293004,0.97979552728218,Normal
S06_053,06,0.992907129578502,0.97979552728218,Normal
S06_054,06,0.996083012702537,0.97979552728218,Normal
S06_055,06,0.991911502016757,0.97979552728218,Normal
S06_056,06,0.994189402530499,0.97979552728218,Normal
S06_057,06,0.994692112659628,0.97979552728218,Normal
S06_058,06,0.992905546899442,0.97979552728218,Normal
S06_059,06,0.985942454999064,0.97979552728218,Normal
S06_060,06,0.987933212421689,0.97979552728218,Normal
S06_061,06,0.991740635567282,0.97979552728218,Normal
S06_062,06,0.992944369577221,0.97979552728218,Normal
S06_063,06,0.995557380747084,0.97979552728218,Normal
S06_064,06,0.991901707670707,0.97979552728218,Normal
S06_065,06,0.990860414537397,0.97979552728218,Normal
S06_066,06,0.991294921328356,0.97979552728218,Normal
S06_067,06,0.995016830477863,0.97979552728218,Normal
S06_068,06,0.99257986213548,0.97979552728218,Normal
S06_069,06,0.994227838823391,0.97979552728218,Normal
S06_070,06,0.991544506981976,0.97979552728218,Normal
mean,06,1,0.97979552728218,Normal
